fear1_proc,fear1_shock,fear2_proc,fear2_shock,ext1_proc,ext2_proc,renewal_proc,mem1_proc,mem1_oldnew,mem2_proc,mem2_oldnew,mem3_proc,mem3_oldnew,mem4_proc,mem4_oldnew,day1_block,day2_stim_block,day1_animals,day1_tools,day1_food,renewal_animals,renewal_tools,renewal_food,day2_foil_block,foil_animals,foil_tools,foil_food
CS-,CS,CS+,CS,CS-,CS+E,CS-,CS+,new,CS+E,new,CS+,new,CS-,new,3,4,stims/animals/carp.jpg,stims/tools/carpetblower.jpg,stims/food/carrots.jpg,,,,4,stims/animals/stinkbug.jpg,stims/tools/tape.jpg,stims/food/iceberglettuce.jpg
CS+E,CSUS,CS+E,CSUS,CS+E,CS+,CS+E,CS+E,new,CS+,old,CS-,old,CS+,new,3,1,stims/animals/cat.jpg,stims/tools/cheesegrater.jpg,stims/food/cashews.jpg,,,,1,stims/animals/toucan.jpg,stims/tools/vacuumcleaner.jpg,stims/food/jerky.jpg
CS+,CSUS,CS-,CS,CS+,CS-,CS+,CS-,new,CS-,new,CS+E,new,CS+E,old,3,2,stims/animals/catfish.jpg,stims/tools/chisel.jpg,stims/food/corn.jpg,,,,2,stims/animals/tragopan.jpg,stims/tools/vicegrips.jpg,stims/food/croissant.jpg
CS+E,CSUS,CS-,CS,CS+E,CS+E,CS+E,CS-,old,CS-,new,CS+E,old,CS-,new,3,3,stims/animals/chipmunk.jpg,stims/tools/drillbit.jpg,stims/food/dumplings.jpg,,,,3,stims/animals/wasp.jpg,stims/tools/wateringcan.jpg,stims/food/kiwi.jpg
CS-,CS,CS+,CS,CS-,CS-,CS-,CS+E,old,CS+E,old,CS-,new,CS+E,old,3,4,stims/animals/cranebug.jpg,stims/tools/edger.jpg,stims/food/guava.jpg,,,,4,stims/animals/waterdragon.jpg,stims/tools/whisk.jpg,stims/food/mushroom.jpg
CS+,CSUS,CS+E,CSUS,CS+,CS+,CS+,CS+,old,CS+,old,CS+,old,CS+,old,3,1,stims/animals/elephantafrican.jpg,stims/tools/eraser.jpg,stims/food/greenonions.jpg,,,,,,,
CS-,CS,CS+E,CSUS,CS-,CS+,CS-,CS+E,old,CS+,new,CS+E,new,CS+E,new,3,2,stims/animals/finch.jpg,stims/tools/fan.jpg,stims/food/kale.jpg,,,,,,,
CS+E,CSUS,CS-,CS,CS+E,CS+E,CS+,CS+,new,CS+E,old,CS-,old,CS+,old,3,3,stims/animals/firebug.jpg,stims/tools/faxmachine.jpg,stims/food/kidneybeans.jpg,,,,,,,
CS+,CS,CS+,CSUS,CS+,CS-,CS+E,CS-,old,CS-,old,CS+,old,CS-,old,3,4,stims/animals/gerbil.jpg,stims/tools/jumpercables.jpg,stims/food/jicama.jpg,,,,,,,
,,,,,,,CS-,new,CS+,old,CS-,old,CS+E,new,4,1,stims/animals/herculesbeetle.jpg,stims/tools/ladder.jpg,stims/food/mango.jpg,,,,,,,
,,,,,,,CS+E,old,CS-,old,CS+,old,CS+,new,4,2,stims/animals/herring.jpg,stims/tools/lawnmower.jpg,stims/food/olives.jpg,,,,,,,
,,,,,,,CS+,old,CS+E,new,CS+E,old,CS-,old,4,3,stims/animals/hummingbird.jpg,stims/tools/paintbrush.jpg,stims/food/leek.jpg,,,,,,,
,,,,,,,CS+,old,CS-,old,CS+,new,CS+E,old,4,4,stims/animals/mahimahi.jpg,stims/tools/pruner.jpg,stims/food/muesli.jpg,,,,,,,
,,,,,,,CS-,old,CS+E,old,CS-,new,CS-,old,4,1,stims/animals/mouse.jpg,stims/tools/reflexhammer.jpg,stims/food/toast.jpg,,,,,,,
,,,,,,,CS+E,new,CS+,new,CS+E,old,CS+,old,4,2,stims/animals/pelican.jpg,stims/tools/ruler.jpg,stims/food/rice.jpg,,,,,,,
,,,,,,,CS+,new,CS+E,new,CS-,old,CS-,new,4,3,stims/animals/quail.jpg,stims/tools/thermometer.jpg,stims/food/peach.jpg,,,,,,,
,,,,,,,CS+E,new,CS+,old,CS+,new,CS+,new,4,4,stims/animals/salmon.jpg,stims/tools/toaster.jpg,stims/food/pear.jpg,,,,,,,
,,,,,,,CS-,new,CS-,new,CS+E,new,CS+E,old,4,1,stims/animals/skunk.jpg,stims/tools/treadmill.jpg,stims/food/pickle.jpg,,,,,,,
